id,name,year
12224,Иностранные языки и межкультурная коммуникация в сфере бизнеса и менеджмента,2020
14102,Межкультурная коммуникация и перевод в нефтегазовом бизнесе,2022
12268,Межкультурная коммуникация и перевод в нефтегазовом бизнесе,2020
14017,Академическое пение,2022
12957,Академическое пение,2021
12048,Академическое пение,2020
11273,Академическое пение,2019
9997,Вокальное искусство,2018
12880,Графический дизайн,2021
11920,Графический дизайн,2020
11184,Графический дизайн,2019
10022,Графический дизайн,2018
14038,"Инструментальное исполнительство на органе, клавесине, карильоне",2022
12964,"Инструментальное исполнительство на органе, клавесине, карильоне",2021
11867,Инструментальное исполнительство на скрипке,2020
13894,Прикладная информатика в области искусств и гуманитарных наук,2022
12888,Прикладная информатика в области искусств и гуманитарных наук,2021
11928,Прикладная информатика в области искусств и гуманитарных наук,2020
11076,Прикладная информатика в области искусств и гуманитарных наук,2019
9976,Прикладная информатика в области искусств и гуманитарных наук,2018
14044,Реставрация произведений изобразительного и декоративно-прикладного искусства,2022
12974,Реставрация произведений изобразительного и декоративно-прикладного искусства,2021
12068,Реставрация произведений изобразительного и декоративно-прикладного искусства,2020
11305,Реставрация произведений изобразительного и декоративно-прикладного искусства,2019
14781,Подготовительные курсы в области графического дизайна,2022
13753,Подготовительные курсы в области графического дизайна,2021
12223,Правовая защита экономической конкуренции,2020
13886,Графический дизайн,2022
13888,Декоративно-прикладное искусство,2022
12882,Декоративно-прикладное искусство,2021
11922,Декоративно-прикладное искусство,2020
11183,Декоративно-прикладное искусство,2019
13887,Дизайн среды,2022
12881,Дизайн среды,2021
11921,Дизайн среды,2020
11227,Дизайн среды,2019
10014,Дизайн среды,2018
14036,Инструментальное исполнительство на скрипке,2022
12961,Инструментальное исполнительство на скрипке,2021
10009,Реставрация,2018
14794,Подготовительные курсы в области дизайна среды и ДПИ,2022
14783,Подготовительные курсы по основам мастерства художника кино,2022
13754,Подготовительные курсы по основам мастерства художника кино,2021
13924,Дизайн среды,2022
13037,Дизайн среды,2021
12138,Дизайн среды,2020
13922,Реставрация предметов изобразительного и декоративно-прикладного искусства,2022
13035,Реставрация предметов изобразительного и декоративно-прикладного искусства,2021
12136,Реставрация предметов изобразительного и декоративно-прикладного искусства,2020
13854,Артист драматического театра и кино,2022
12843,Артист драматического театра и кино,2021
12235,Артист драматического театра и кино,2020
10972,Артист драматического театра и кино,2019
10143,Живопись,2018
9190,Живопись,2017
13853,Станковая живопись,2022
12842,Станковая живопись,2021
12234,Станковая живопись,2020
10991,Станковая живопись,2019
14733,Медиакоммуникации и журналистика,2022
14693,Медицинская психология,2022
14624,Медицинская химия,2022
14681,Международно-правовые науки,2022
14705,"Международные отношения, глобальные и региональные исследования",2022
14687,Менеджмент,2022
14724,Методология и технология профессионального образования,2022
14629,Микробиология,2022
14637,"Минералогия, кристаллография. Геохимия, геохимические методы поисков полезных ископаемых",2022
14686,Мировая экономика,2022
14644,Науки об атмосфере и климате,2022
14669,Неврология,2022
14615,Неорганическая химия,2022
14635,Общая и региональная геология. Геотектоника и геодинамика,2022
14722,"Общая педагогика, история педагогики и образования",2022
14688,"Общая психология, психология личности, история психологии",2022
14643,Океанология,2022
14656,"Онкология, лучевая терапия",2022
14713,Онтология и теория познания,2022
14607,Оптика,2022
14617,Органическая химия,2022
14706,Отечественная история,2022
14691,"Педагогическая психология, психодиагностика цифровых образовательных сред",2022
14636,"Петрология, вулканология",2022
14699,Политическая социология,2022
14703,"Политические институты, процессы, технологии",2022
14633,Почвоведение,2022
14738,"Практическая теология (по исследовательскому направлению: православие, ислам, иудаизм, протестантизм)",2022
14663,Психиатрия и наркология,2022
14690,"Психология труда, инженерная психология, когнитивная эргономика",2022
14689,Психофизиология,2022
14678,Публично-правовые (государственно-правовые) науки,2022
14606,Радиофизика,2022
14622,Радиохимия,2022
14684,Региональная и отраслевая экономика,2022
14725,Русская литература и литературы народов Российской Федерации,2022
14729,Русский язык. Языки народов России,2022
14657,Стоматология,2022
14677,Теоретико-исторические правовые науки,2022
14603,"Теоретическая информатика, кибернетика",2022
14734,"Теория и история культуры, искусства",2022
14723,Теория и методика обучения и воспитания,2022
13851,Инженерно-ориентированная физика,2022
12948,Инженерно-ориентированная физика,2021
12036,Инженерно-ориентированная физика,2020
11209,Инженерно-ориентированная физика,2019
9992,Инженерно-ориентированная физика,2018
13923,Графический дизайн,2022
13036,Графический дизайн,2021
12137,Графический дизайн,2020
14053,Историческое исполнительство на клавишных музыкальных инструментах,2022
13175,Историческое исполнительство на клавишных музыкальных инструментах,2021
12238,Историческое исполнительство на клавишных музыкальных инструментах,2020
